INDUSTRY_SECTOR;Communications;Consumer, Non-cyclical;Financial;Industrial
02/01/2020;148.4391;310.793;228.1121111;230.3275
03/01/2020;149.6345;305.759;229.942;228.8555
06/01/2020;150.9037;327.878;231.4716667;227.137
07/01/2020;151.8964;330.137;230.2545;226.5165
08/01/2020;152.2146;307.2745;231.8376667;226.591
09/01/2020;152.129;281.779;223.3598333;226.6775
10/01/2020;152.1624;278.842;222.3033684;225.882
13/01/2020;151.0821;289.2125;222.2066316;223.8995
14/01/2020;150.9082;284.6035;223.5891579;225.382
15/01/2020;151.2533;318.9095;227.2163158;224.927
16/01/2020;151.7376;334.3435;229.2040526;223.5295
17/01/2020;151.2559;312.71;225.7038947;222.302
20/01/2020;150.1089;297.91;222.7622105;220.596
21/01/2020;150.5263;297.888;224.334;221.2425
22/01/2020;151.0487;276.0915;229.1186316;220.35
23/01/2020;151.7792;247.9195;225.1665789;219.1345
24/01/2020;152.1706;227.4925;223.3355263;219.5665
27/01/2020;155.5628;232.269;220.5291053;223.0555
28/01/2020;154.5384;204.1985;218.8571579;223.965
29/01/2020;154.6912;209.6115;213.1543158;222.7725
30/01/2020;155.1125;212.321;215.8216316;221.8
31/01/2020;157.0384;201.6185;215.2712105;222.716
03/02/2020;157.2647;206.3365;217.0476316;202.286
04/02/2020;154.8959;199.563;211.2017368;198.872
05/02/2020;152.6443;201.1535;203.9192105;197.1975
06/02/2020;150.9617;207.106;190.6844211;197.602
07/02/2020;150.8566;211.433;190.7558421;199.219
10/02/2020;149.8766;218.748;193.2526316;198.056
11/02/2020;148.8074;211.4065;187.3365789;196.382
12/02/2020;142.7669;206.982;179.8778421;196.3035
13/02/2020;131.9065;206.2115;181.9567368;196.661
14/02/2020;124.0468;203.1005;193.268;195.4955
17/02/2020;122.2255;202.8515;192.1529;203.2175
18/02/2020;120.4787;204.5225;195.75715;204.9735
19/02/2020;119.8322;207.692;194.80895;205.267
20/02/2020;120.8815;223.945;196.4389;204.208
21/02/2020;121.3539;222.319;200.65945;205.0485
24/02/2020;130.1588;236.495;235.5307;214.66
25/02/2020;138.8201;241.698;244.7808;214.631
26/02/2020;143.6016;242.1165;251.75005;218.0205
27/02/2020;149.9781;247.988;276.6869;224.3565
28/02/2020;165.8163;261.0735;309.58725;241.2745
02/03/2020;182.4367;267.304;313.24535;244.4605
03/03/2020;179.2822;265.194;286.4556;240.673
04/03/2020;173.5305;266.87;280.0713;236.9855
05/03/2020;173.7973;271.101;302.74715;239.1215
06/03/2020;191.1606;289.238;344.2305;256.7115
09/03/2020;237.4285;356.4785;458.5485;304.4205
10/03/2020;240.3743;364.2685;440.2954;304.7805
