Refdate;Cupom_Cambial
02/01/2020;2.436
03/01/2020;2.446
06/01/2020;2.462
07/01/2020;2.456
08/01/2020;2.478
09/01/2020;2.488
10/01/2020;2.508
13/01/2020;2.556
14/01/2020;2.56
15/01/2020;2.514
16/01/2020;2.514
17/01/2020;2.518
20/01/2020;2.506
21/01/2020;2.474
22/01/2020;2.424
23/01/2020;2.382
24/01/2020;2.37
27/01/2020;2.3
28/01/2020;2.266
29/01/2020;2.282
30/01/2020;2.34
31/01/2020;2.294
03/02/2020;2.264
04/02/2020;2.238
05/02/2020;2.252
06/02/2020;2.248
07/02/2020;2.196
10/02/2020;2.224
11/02/2020;2.284
12/02/2020;2.324
13/02/2020;2.358
14/02/2020;2.326
17/02/2020;2.356
18/02/2020;2.364
19/02/2020;2.36
20/02/2020;2.316
21/02/2020;2.208
26/02/2020;2.068
27/02/2020;2.164
28/02/2020;2.118
02/03/2020;1.958
03/03/2020;1.678
04/03/2020;1.666
05/03/2020;1.732
06/03/2020;1.688
09/03/2020;1.506
10/03/2020;1.45
11/03/2020;1.552
12/03/2020;1.898
13/03/2020;1.762
16/03/2020;1.902
17/03/2020;2.07
18/03/2020;2.382
19/03/2020;2.142
20/03/2020;2.076
23/03/2020;1.626
24/03/2020;1.622
25/03/2020;1.556
26/03/2020;1.7
27/03/2020;1.56
30/03/2020;1.398
31/03/2020;1.306
01/04/2020;1.268
02/04/2020;1.266
03/04/2020;1.364
06/04/2020;1.532
07/04/2020;1.692
08/04/2020;1.762
09/04/2020;1.672
13/04/2020;1.716
14/04/2020;1.592
15/04/2020;1.466
16/04/2020;1.536
17/04/2020;1.548
20/04/2020;1.548
22/04/2020;1.476
23/04/2020;1.42
24/04/2020;1.416
27/04/2020;1.246
28/04/2020;1.13
29/04/2020;1.372
30/04/2020;1.312
04/05/2020;1.208
05/05/2020;1.222
06/05/2020;1.29
07/05/2020;1.338
08/05/2020;1.392
11/05/2020;1.31
12/05/2020;1.404
13/05/2020;1.456
14/05/2020;1.422
15/05/2020;1.24
18/05/2020;1.304
19/05/2020;1.308
20/05/2020;1.304
21/05/2020;1.272
22/05/2020;1.278
25/05/2020;1.266
26/05/2020;1.224
27/05/2020;1.158
28/05/2020;1.294
29/05/2020;1.356
01/06/2020;1.316
02/06/2020;1.202
03/06/2020;1.144
04/06/2020;1.14
05/06/2020;1.176
08/06/2020;1.188
09/06/2020;1.184
10/06/2020;1.214
12/06/2020;1.096
15/06/2020;1.066
16/06/2020;1.046
17/06/2020;1.024
18/06/2020;1.072
19/06/2020;1.03
22/06/2020;1.092
23/06/2020;1.088
