Refdate,Px_Mid
2020-01-01,108.31135309623613
2020-01-02,108.45523583765525
2020-01-03,108.58088197526423
2020-01-06,108.68879755488766
2020-01-07,108.81459942060587
2020-01-08,108.8536523593527
2020-01-09,109.08662555154842
2020-01-10,109.33782214533238
2020-01-13,109.39089473770323
2020-01-14,109.33239052822474
2020-01-15,109.46775778738284
2020-01-16,109.6161556179785
2020-01-17,109.62812910014433
2020-01-20,109.60854226992254
2020-01-21,109.6165708733192
2020-01-22,109.75536533902317
2020-01-23,109.74486470381143
2020-01-24,109.77629185694627
2020-01-27,109.60052109053814
2020-01-28,109.58545412269137
2020-01-29,109.82719260491257
2020-01-30,109.85146863445595
2020-01-31,109.97341750995453
2020-02-03,109.83586307775859
2020-02-04,109.65925781426633
2020-02-05,109.62793404376988
2020-02-06,109.94449559252641
2020-02-07,110.09450117350192
2020-02-10,110.14387637510525
2020-02-11,110.28966772481024
2020-02-12,110.39564428607241
2020-02-13,110.53224448173518
2020-02-14,110.74486346273284
2020-02-17,110.74967967739511
2020-02-18,110.85296819899992
2020-02-19,110.87523621037684
2020-02-20,111.40155786343624
2020-02-21,111.39147671851254
2020-02-25,110.732501106769
2020-02-26,109.97021081828245
2020-02-27,108.52832551110828
2020-02-28,107.67091605011835
2020-03-02,108.13985256741749
2020-03-03,109.314905510155
2020-03-04,110.08534556580996
2020-03-05,109.45218918618315
2020-03-06,108.60698289503391
2020-03-09,103.39673658271613
2020-03-10,102.99322470161312
2020-03-11,101.0896033277516
2020-03-12,96.68797067431915
2020-03-13,97.42461631674529
2020-03-16,93.90120344524624
2020-03-17,91.54733576400584
2020-03-18,86.76607138132117
2020-03-19,83.56785747527852
2020-03-20,84.10539302542232
2020-03-23,82.44715070485236
2020-03-24,83.13054687286152
2020-03-25,86.0078172029564
2020-03-26,89.11930967495601
2020-03-27,89.0104910205831
2020-03-30,88.81986843722414
2020-03-31,89.58757574483745
2020-04-01,88.68470517547551
2020-04-02,88.98988432886918
2020-04-03,88.97476547233285
2020-04-06,88.759329913845
2020-04-07,89.09243046537783
2020-04-08,89.39481108465834
2020-04-09,91.49556426079585
2020-04-10,91.45463696390239
2020-04-13,92.29798114467043
2020-04-14,93.46257436982262
2020-04-15,93.04565071506327
2020-04-16,93.30326757413843
2020-04-17,93.94306435656765
2020-04-20,93.5709165896418
2020-04-21,93.0287129306685
2020-04-22,92.80499357805603
2020-04-23,92.74754982131
2020-04-24,91.66366529623927
2020-04-27,90.51195642403025
2020-04-28,90.73104079673895
2020-04-29,91.78737471044144
2020-04-30,92.80324299309478
2020-05-01,92.90038167690747
2020-05-04,92.88017544315176
2020-05-05,93.2546429984445
2020-05-06,92.95226228417366
2020-05-07,93.26974468054277
2020-05-08,93.62577239744151
2020-05-11,93.64686180151429
2020-05-12,93.96208097793058
2020-05-13,93.33149269680679
2020-05-14,92.7712179835366
2020-05-15,93.17392607052682
2020-05-18,94.07246383439781
2020-05-19,94.21324632705866
2020-05-20,95.10970500400451
2020-05-21,95.92429363298635
2020-05-22,95.85538245260645
2020-05-25,95.99889810042797
2020-05-26,97.00894744443485
2020-05-27,97.16748670843009
2020-05-28,97.34448216586864
2020-05-29,97.25710436745479
2020-06-01,97.64733333893145
2020-06-02,98.13967294910654
2020-06-03,99.18774378299706
2020-06-04,99.50958319944489
2020-06-05,100.9137844529717
2020-06-08,101.91690950263782
2020-06-09,101.62186359791396
2020-06-10,101.39060274949748
2020-06-11,100.03820846147602
2020-06-12,99.9995545121684
2020-06-15,99.57780567472308
2020-06-16,100.58846566793035
2020-06-17,100.27069708779545
2020-06-18,100.13338753408385
2020-06-19,100.26586150889953
2020-06-22,100.13203092044489
2020-06-23,100.26890011944694
2020-06-24,99.96373628539732
2020-06-25,99.89510632007001
2020-06-26,99.7742774537855
2020-06-29,99.611750116002
2020-06-30,99.49591703211253
2020-07-01,99.68592190381018
2020-07-02,100.04871909376901
2020-07-03,99.94635679638343
2020-07-06,100.2949185368537
2020-07-07,100.19640472990042
2020-07-08,100.13088267023795
2020-07-09,99.94099640640873
2020-07-10,99.83617687767385
2020-07-13,100.0181514092412
2020-07-14,99.79709436566435
2020-07-15,100.12484569790178
2020-07-16,100.2235673400176
2020-07-17,100.51870577713856
2020-07-20,100.99045653109198
2020-07-21,101.74287915407241
2020-07-22,102.014932005161
2020-07-23,102.06312925100349
2020-07-24,101.88679007888265
2020-07-27,102.11371137736992
2020-07-28,102.27940514227919
2020-07-29,102.71235203100157
2020-07-30,102.64393726600404
2020-07-31,102.91333464295121
2020-08-03,103.09123691742388
2020-08-04,103.29007834285187
2020-08-05,103.71371549898245
2020-08-06,104.0303418025905
2020-08-07,104.1755374737773
2020-08-10,104.59333066359605
2020-08-11,104.91210676299633
2020-08-12,104.77256411203331
