INDUSTRY_SECTOR;Communications;Consumer, Non-cyclical;Financial;Industrial;Basic Materials;Consumer, Cyclical;Energy;Utilities
02/01/2020;148.4391;310.793;228.1121111;230.3275;360.1799675;233.459;100.44725;45.35606319
03/01/2020;149.6345;305.759;229.942;228.8555;361.7093211;260.034;101.57175;44.24209122
06/01/2020;150.9037;327.878;231.4716667;227.137;375.9203862;232.848;102.6845;43.72356668
07/01/2020;151.8964;330.137;230.2545;226.5165;374.5741992;229.018;102.414;43.39092726
08/01/2020;152.2146;307.2745;231.8376667;226.591;386.4292967;236.245;101.77825;44.51465795
09/01/2020;152.129;281.779;223.3598333;226.6775;384.4450163;232.5065;99.908;45.05403851
10/01/2020;152.1624;278.842;222.3033684;225.882;418.315734;230.102;99.077;43.85927869
13/01/2020;151.0821;289.2125;222.2066316;223.8995;404.091484;228.395;97.7445;41.99636223
14/01/2020;150.9082;284.6035;223.5891579;225.382;382.8992398;228.072;97.73425;41.24333643
15/01/2020;151.2533;318.9095;227.2163158;224.927;389.9456789;227.35;99.09575;41.64671731
16/01/2020;151.7376;334.3435;229.2040526;223.5295;415.9372021;221.587;98.40675;41.04134105
17/01/2020;151.2559;312.71;225.7038947;222.302;386.2385528;222.498;97.81425;40.19075502
20/01/2020;150.1089;297.91;222.7622105;220.596;382.3513211;220.042;97.17225;38.41629888
21/01/2020;150.5263;297.888;224.334;221.2425;386.0715894;225.025;97.5395;38.79768432
22/01/2020;151.0487;276.0915;229.1186316;220.35;411.4022181;225.415;97.51825;38.71535952
23/01/2020;151.7792;247.9195;225.1665789;219.1345;390.9323537;241.844;100.14375;37.94418325
24/01/2020;152.1706;227.4925;223.3355263;219.5665;414.797883;239.031;101.6945;35.82434587
27/01/2020;155.5628;232.269;220.5291053;223.0555;407.4183862;252.488;109.79175;37.65981974
28/01/2020;154.5384;204.1985;218.8571579;223.965;399.9018333;268.633;109.5;37.89995667
29/01/2020;154.6912;209.6115;213.1543158;222.7725;361.9890569;267.764;109.97775;36.79040118
30/01/2020;155.1125;212.321;215.8216316;221.8;386.548133;281.7345;114.99775;36.84170762
31/01/2020;157.0384;201.6185;215.2712105;222.716;368.4041179;282.2395;116.8765;35.78979219
03/02/2020;157.2647;206.3365;217.0476316;202.286;377.3876016;261.07;118.19675;36.00103081
04/02/2020;154.8959;199.563;211.2017368;198.872;382.3554309;254.024;115.1895;37.52979078
05/02/2020;152.6443;201.1535;203.9192105;197.1975;345.5480772;245.894;113.991;37.74201693
06/02/2020;150.9617;207.106;190.6844211;197.602;296.0511649;243.91;112.0485;37.97265641
07/02/2020;150.8566;211.433;190.7558421;199.219;284.7073245;242.213;111.83525;37.74758286
10/02/2020;149.8766;218.748;193.2526316;198.056;295.7889894;248.154;112.87125;38.26841836
11/02/2020;148.8074;211.4065;187.3365789;196.382;231.7926992;292.1535;110.7505;38.25336588
12/02/2020;142.7669;206.982;179.8778421;196.3035;279.5087819;292.1955;109.18525;38.99540183
13/02/2020;131.9065;206.2115;181.9567368;196.661;202.5911951;290.5115;108.7575;39.16858044
14/02/2020;124.0468;203.1005;193.268;195.4955;259.6657606;289.2795;106.02975;39.82429527
17/02/2020;122.2255;202.8515;192.1529;203.2175;265.7795957;287.571;105.53125;38.67087832
18/02/2020;120.4787;204.5225;195.75715;204.9735;197.0992276;288.928;104.70575;39.33627691
19/02/2020;119.8322;207.692;194.80895;205.267;189.931061;286.5525;104.406;38.26167531
20/02/2020;120.8815;223.945;196.4389;204.208;263.0291755;284.5165;104.31425;39.00699381
21/02/2020;121.3539;222.319;200.65945;205.0485;279.5508723;286.8635;103.73175;37.85884791
24/02/2020;130.1588;236.495;235.5307;214.66;389.5857872;336.571;116.2265;38.69195317
25/02/2020;138.8201;241.698;244.7808;214.631;351.8984634;355.215;124.662;38.05218633
26/02/2020;143.6016;242.1165;251.75005;218.0205;398.761768;377.6125;128.4325;41.59776817
27/02/2020;149.9781;247.988;276.6869;224.3565;464.2758293;425.956;142.94025;45.10148186
28/02/2020;165.8163;261.0735;309.58725;241.2745;497.9785479;429.433;173.29875;45.79800449
02/03/2020;182.4367;267.304;313.24535;244.4605;494.9145244;435.144;186.64175;48.37232214
03/03/2020;179.2822;265.194;286.4556;240.673;497.3574797;426.9;170.19575;53.86447435
04/03/2020;173.5305;266.87;280.0713;236.9855;504.5960935;429.539;166.0105;50.69595957
05/03/2020;173.7973;271.101;302.74715;239.1215;507.947439;439.095;170.21375;65.95552171
06/03/2020;191.1606;289.238;344.2305;256.7115;526.6634472;458.729;196.94975;99.10896689
09/03/2020;237.4285;356.4785;458.5485;304.4205;545.1263537;509.646;395.054;70.61007644
10/03/2020;240.3743;364.2685;440.2954;304.7805;538.332442;519.533;391.544;90.97142701
